Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.0,0.0,0.0,0,0,0,1/22/20,0.0,0
0.0,0.0,0.0,0,0,0,1/23/20,0.0,0
0.0,0.0,0.0,0,0,0,1/24/20,0.0,0
0.0,0.0,0.0,0,0,0,1/25/20,0.0,0
1.5035106974786125e-07,0.0,0.0,1,0,0,1/26/20,1.5035106974786125e-07,1
1.5035106974786125e-07,0.0,0.0,1,0,0,1/27/20,1.5035106974786125e-07,1
1.5035106974786125e-07,0.0,0.0,1,0,0,1/28/20,1.5035106974786125e-07,1
1.5035106974786125e-07,0.0,0.0,1,0,0,1/29/20,1.5035106974786125e-07,1
3.007021394957225e-07,0.0,0.0,2,0,0,1/30/20,3.007021394957225e-07,2
4.5105320924358375e-07,0.0,0.0,3,0,0,1/31/20,4.5105320924358375e-07,3
6.01404278991445e-07,0.0,0.0,4,0,0,2/1/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/2/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/3/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/4/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/5/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/6/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/7/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/8/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/9/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/10/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/11/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,0.0,4,0,0,2/12/20,6.01404278991445e-07,4
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/13/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/14/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/15/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/16/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/17/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/18/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/19/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/20/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/21/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/22/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/23/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/24/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/25/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/26/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/27/20,0.0,0
6.01404278991445e-07,0.0,6.01404278991445e-07,4,0,4,2/28/20,0.0,0
1.0524574882350288e-06,0.0,6.01404278991445e-07,7,0,4,2/29/20,4.510532092435838e-07,3
1.0524574882350288e-06,0.0,6.01404278991445e-07,7,0,4,3/1/20,4.510532092435838e-07,3
1.3531596277307512e-06,0.0,6.01404278991445e-07,9,0,4,3/2/20,7.517553487393062e-07,5
1.3531596277307512e-06,0.0,6.01404278991445e-07,9,0,4,3/3/20,7.517553487393062e-07,5
1.5035106974786126e-06,0.0,6.01404278991445e-07,10,0,4,3/4/20,9.021064184871676e-07,6
1.5035106974786126e-06,0.0,1.0524574882350288e-06,10,0,7,3/5/20,4.510532092435838e-07,3
1.5035106974786126e-06,0.0,1.0524574882350288e-06,10,0,7,3/6/20,4.510532092435838e-07,3
1.6538617672264738e-06,0.0,1.0524574882350288e-06,11,0,7,3/7/20,6.01404278991445e-07,4
1.6538617672264738e-06,0.0,1.0524574882350288e-06,11,0,7,3/8/20,6.01404278991445e-07,4
2.255266046217919e-06,0.0,1.0524574882350288e-06,15,0,7,3/9/20,1.20280855798289e-06,8
2.7063192554615024e-06,0.0,1.0524574882350288e-06,18,0,7,3/10/20,1.6538617672264736e-06,11
3.1573724647050864e-06,0.0,1.0524574882350288e-06,21,0,7,3/11/20,2.1049149764700576e-06,14
3.1573724647050864e-06,0.0,1.0524574882350288e-06,21,0,7,3/12/20,2.1049149764700576e-06,14
5.412638510923005e-06,0.0,1.20280855798289e-06,36,0,8,3/13/20,4.209829952940115e-06,28
7.367202417645201e-06,0.0,1.20280855798289e-06,49,0,8,3/14/20,6.164393859662311e-06,41
8.570010975628092e-06,0.0,1.20280855798289e-06,57,0,8,3/15/20,7.367202417645202e-06,49
1.0674925952098148e-05,0.0,1.20280855798289e-06,71,0,8,3/16/20,9.472117394115259e-06,63
1.4133000556298958e-05,0.0,1.20280855798289e-06,94,0,8,3/17/20,1.2930191998316068e-05,86
1.8192479439491212e-05,0.0,1.20280855798289e-06,121,0,8,3/18/20,1.6989670881508322e-05,113
1.8192479439491212e-05,0.0,1.20280855798289e-06,121,0,8,3/19/20,1.6989670881508322e-05,113
1.8192479439491212e-05,0.0,1.20280855798289e-06,121,0,8,3/20/20,1.6989670881508322e-05,113
3.443039497226023e-05,0.0,1.20280855798289e-06,229,0,8,3/21/20,3.322758641427734e-05,221
5.3374629760490746e-05,0.0,1.0524574882350287e-05,355,0,70,3/22/20,4.2850054878140455e-05,285
5.3374629760490746e-05,0.0,1.0524574882350287e-05,355,0,70,3/23/20,4.2850054878140455e-05,285
6.179428966637098e-05,0.0,1.4584053765542541e-05,411,0,97,3/24/20,4.7210235900828436e-05,314
7.006359850250335e-05,0.0,1.4584053765542541e-05,466,0,97,3/25/20,5.54795447369608e-05,369
7.818255626888785e-05,4.5105320924358375e-07,2.240230939243133e-05,520,3,149,3/26/20,5.5329193667212934e-05,368
8.630151403527235e-05,4.5105320924358375e-07,2.5710032926884275e-05,574,3,171,3/27/20,6.014042789914449e-05,400
0.00010299048277728496,4.5105320924358375e-07,2.87170543218415e-05,685,3,191,3/28/20,7.382237524619988e-05,491
0.0001156199726361053,6.01404278991445e-07,2.87170543218415e-05,769,4,191,3/29/20,8.630151403527235e-05,574
0.00012343822826299408,6.01404278991445e-07,2.87170543218415e-05,821,4,191,3/30/20,9.411976966216114e-05,626
