Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.0,0.0,0.0,0,0,0,1/22/20,0.0,0
0.0,0.0,0.0,0,0,0,1/23/20,0.0,0
0.0,0.0,0.0,0,0,0,1/24/20,0.0,0
0.0,0.0,0.0,0,0,0,1/25/20,0.0,0
0.0,0.0,0.0,0,0,0,1/26/20,0.0,0
0.0,0.0,0.0,0,0,0,1/27/20,0.0,0
0.0,0.0,0.0,0,0,0,1/28/20,0.0,0
0.0,0.0,0.0,0,0,0,1/29/20,0.0,0
0.0,0.0,0.0,0,0,0,1/30/20,0.0,0
0.0,0.0,0.0,0,0,0,1/31/20,0.0,0
0.0,0.0,0.0,0,0,0,2/1/20,0.0,0
0.0,0.0,0.0,0,0,0,2/2/20,0.0,0
0.0,0.0,0.0,0,0,0,2/3/20,0.0,0
0.0,0.0,0.0,0,0,0,2/4/20,0.0,0
0.0,0.0,0.0,0,0,0,2/5/20,0.0,0
0.0,0.0,0.0,0,0,0,2/6/20,0.0,0
0.0,0.0,0.0,0,0,0,2/7/20,0.0,0
0.0,0.0,0.0,0,0,0,2/8/20,0.0,0
0.0,0.0,0.0,0,0,0,2/9/20,0.0,0
0.0,0.0,0.0,0,0,0,2/10/20,0.0,0
0.0,0.0,0.0,0,0,0,2/11/20,0.0,0
0.0,0.0,0.0,0,0,0,2/12/20,0.0,0
0.0,0.0,0.0,0,0,0,2/13/20,0.0,0
0.0,0.0,0.0,0,0,0,2/14/20,0.0,0
0.0,0.0,0.0,0,0,0,2/15/20,0.0,0
0.0,0.0,0.0,0,0,0,2/16/20,0.0,0
0.0,0.0,0.0,0,0,0,2/17/20,0.0,0
0.0,0.0,0.0,0,0,0,2/18/20,0.0,0
0.0,0.0,0.0,0,0,0,2/19/20,0.0,0
0.0,0.0,0.0,0,0,0,2/20/20,0.0,0
0.0,0.0,0.0,0,0,0,2/21/20,0.0,0
0.0,0.0,0.0,0,0,0,2/22/20,0.0,0
0.0,0.0,0.0,0,0,0,2/23/20,0.0,0
0.0,0.0,0.0,0,0,0,2/24/20,0.0,0
0.0,0.0,0.0,0,0,0,2/25/20,0.0,0
4.738224312627812e-09,0.0,0.0,1,0,0,2/26/20,4.738224312627812e-09,1
4.738224312627812e-09,0.0,0.0,1,0,0,2/27/20,4.738224312627812e-09,1
4.738224312627812e-09,0.0,0.0,1,0,0,2/28/20,4.738224312627812e-09,1
9.476448625255625e-09,0.0,0.0,2,0,0,2/29/20,9.476448625255625e-09,2
9.476448625255625e-09,0.0,0.0,2,0,0,3/1/20,9.476448625255625e-09,2
9.476448625255625e-09,0.0,0.0,2,0,0,3/2/20,9.476448625255625e-09,2
9.476448625255625e-09,0.0,0.0,2,0,0,3/3/20,9.476448625255625e-09,2
1.895289725051125e-08,0.0,0.0,4,0,0,3/4/20,1.895289725051125e-08,4
1.895289725051125e-08,0.0,0.0,4,0,0,3/5/20,1.895289725051125e-08,4
6.159691606416156e-08,0.0,0.0,13,0,0,3/6/20,6.159691606416156e-08,13
6.159691606416156e-08,0.0,0.0,13,0,0,3/7/20,6.159691606416156e-08,13
9.476448625255626e-08,0.0,0.0,20,0,0,3/8/20,9.476448625255626e-08,20
1.1845560781569531e-07,0.0,0.0,25,0,0,3/9/20,1.1845560781569531e-07,25
1.468849536914622e-07,0.0,0.0,31,0,0,3/10/20,1.468849536914622e-07,31
1.8005252387985687e-07,0.0,0.0,38,0,0,3/11/20,1.8005252387985687e-07,38
2.4638766425664624e-07,0.0,0.0,52,0,0,3/12/20,2.4638766425664624e-07,52
7.154718712067997e-07,0.0,0.0,151,0,0,3/13/20,7.154718712067997e-07,151
7.154718712067997e-07,0.0,0.0,151,0,0,3/14/20,7.154718712067997e-07,151
7.675923386457056e-07,0.0,0.0,162,0,0,3/15/20,7.675923386457056e-07,162
9.476448625255625e-07,0.0,4.738224312627812e-09,200,0,1,3/16/20,9.429066382129347e-07,199
1.5209700043535278e-06,4.738224312627812e-09,9.476448625255625e-09,321,1,2,3/17/20,1.5067553314156443e-06,318
1.7626194442975462e-06,1.4214672937883438e-08,9.476448625255625e-09,372,3,2,3/18/20,1.7389283227344072e-06,367
2.9424372981418716e-06,2.8429345875766876e-08,9.476448625255625e-09,621,6,2,3/19/20,2.904531503640849e-06,613
3.7574118799138556e-06,5.212046743890594e-08,9.476448625255625e-09,793,11,2,3/20/20,3.695814963849694e-06,780
4.837727023192997e-06,7.107336468941719e-08,9.476448625255625e-09,1021,15,2,3/21/20,4.757177209878325e-06,1004
7.325294787322598e-06,1.1845560781569531e-07,9.476448625255625e-09,1546,25,2,3/22/20,7.197362730881647e-06,1519
9.116343577495912e-06,1.6109962662934564e-07,9.476448625255625e-09,1924,34,2,3/23/20,8.945767502241311e-06,1888
1.0646790030474696e-05,2.179583183808794e-07,9.476448625255625e-09,2247,46,2,3/24/20,1.041935526346856e-05,2199
1.2101424894451434e-05,2.79555234445041e-07,9.476448625255625e-09,2554,59,2,3/25/20,1.1812393211381138e-05,2493
1.4143599573194021e-05,3.648432720723416e-07,2.8429345875766876e-08,2985,77,6,3/26/20,1.3750326955245913e-05,2902
1.6190512476249235e-05,4.359166367617588e-07,2.8429345875766876e-08,3417,92,6,3/27/20,1.572616649361171e-05,3319
1.8498027716498982e-05,5.259428987016872e-07,2.8429345875766876e-08,3904,111,6,3/28/20,1.794365547192153e-05,3787
2.016588267454397e-05,6.443985065173826e-07,2.8429345875766876e-08,4256,136,6,3/29/20,1.949305482215082e-05,4114
2.1696329127522755e-05,7.533776657078222e-07,5.685869175153375e-07,4579,159,120,3/30/20,2.0374364544299595e-05,4300
2.7088428395293207e-05,9.523830868381904e-07,6.017544877037322e-07,5717,201,127,3/31/20,2.5534290820751283e-05,5389
3.2390501401123725e-05,1.137173835030675e-06,6.017544877037322e-07,6836,240,127,4/1/20,3.065157307838932e-05,6469
3.8114276370778125e-05,1.5351846772914112e-06,6.017544877037322e-07,8044,324,127,4/2/20,3.597733720578298e-05,7593
4.290935937515747e-05,1.7010225282333848e-06,6.017544877037322e-07,9056,359,127,4/3/20,4.060658235922035e-05,8570
4.908800387882414e-05,2.1085098191193765e-06,6.017544877037322e-07,10360,445,127,4/4/20,4.6377739572001026e-05,9788
5.2736436599547556e-05,2.302777015937117e-06,6.017544877037322e-07,11130,486,127,4/5/20,4.983190509590671e-05,10517
5.7621545865866834e-05,2.6723585123220863e-06,6.017544877037322e-07,12161,564,127,4/6/20,5.434743286584102e-05,11470
6.649624000341872e-05,3.2504218784626797e-06,6.017544877037322e-07,14034,686,127,4/7/20,6.26440636372523e-05,13221
