Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.0,0.0,0.0,0,0,0,1/22/20,0.0,0
0.0,0.0,0.0,0,0,0,1/23/20,0.0,0
2.9824088430092346e-08,0.0,0.0,2,0,0,1/24/20,2.9824088430092346e-08,2
4.4736132645138515e-08,0.0,0.0,3,0,0,1/25/20,4.4736132645138515e-08,3
4.4736132645138515e-08,0.0,0.0,3,0,0,1/26/20,4.4736132645138515e-08,3
4.4736132645138515e-08,0.0,0.0,3,0,0,1/27/20,4.4736132645138515e-08,3
5.964817686018469e-08,0.0,0.0,4,0,0,1/28/20,5.964817686018469e-08,4
7.456022107523085e-08,0.0,0.0,5,0,0,1/29/20,7.456022107523085e-08,5
7.456022107523085e-08,0.0,0.0,5,0,0,1/30/20,7.456022107523085e-08,5
7.456022107523085e-08,0.0,0.0,5,0,0,1/31/20,7.456022107523085e-08,5
8.947226529027703e-08,0.0,0.0,6,0,0,2/1/20,8.947226529027703e-08,6
8.947226529027703e-08,0.0,0.0,6,0,0,2/2/20,8.947226529027703e-08,6
8.947226529027703e-08,0.0,0.0,6,0,0,2/3/20,8.947226529027703e-08,6
8.947226529027703e-08,0.0,0.0,6,0,0,2/4/20,8.947226529027703e-08,6
8.947226529027703e-08,0.0,0.0,6,0,0,2/5/20,8.947226529027703e-08,6
8.947226529027703e-08,0.0,0.0,6,0,0,2/6/20,8.947226529027703e-08,6
8.947226529027703e-08,0.0,0.0,6,0,0,2/7/20,8.947226529027703e-08,6
1.6403248636550788e-07,0.0,0.0,11,0,0,2/8/20,1.6403248636550788e-07,11
1.6403248636550788e-07,0.0,0.0,11,0,0,2/9/20,1.6403248636550788e-07,11
1.6403248636550788e-07,0.0,0.0,11,0,0,2/10/20,1.6403248636550788e-07,11
1.6403248636550788e-07,0.0,0.0,11,0,0,2/11/20,1.6403248636550788e-07,11
1.6403248636550788e-07,0.0,2.9824088430092346e-08,11,0,2,2/12/20,1.3420839793541553e-07,9
1.6403248636550788e-07,0.0,2.9824088430092346e-08,11,0,2,2/13/20,1.3420839793541553e-07,9
1.6403248636550788e-07,0.0,2.9824088430092346e-08,11,0,2,2/14/20,1.3420839793541553e-07,9
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/15/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/16/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/17/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/18/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/19/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/20/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/21/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/22/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/23/20,1.0438430950532319e-07,7
1.7894453058055406e-07,1.4912044215046173e-08,5.964817686018469e-08,12,1,4,2/24/20,1.0438430950532319e-07,7
2.087686190106464e-07,1.4912044215046173e-08,1.6403248636550788e-07,14,1,11,2/25/20,2.982408843009235e-08,2
2.684167958708311e-07,2.9824088430092346e-08,1.6403248636550788e-07,18,2,11,2/26/20,7.456022107523088e-08,5
5.666576801717546e-07,2.9824088430092346e-08,1.6403248636550788e-07,38,2,11,2/27/20,3.7280110537615435e-07,25
8.499865202576318e-07,2.9824088430092346e-08,1.6403248636550788e-07,57,2,11,2/28/20,6.561299454620315e-07,44
1.4912044215046172e-06,2.9824088430092346e-08,1.7894453058055406e-07,100,2,12,2/29/20,1.2824358024939708e-06,86
1.9385657479560024e-06,2.9824088430092346e-08,1.7894453058055406e-07,130,2,12,3/1/20,1.729797128945356e-06,116
2.848200445073819e-06,4.4736132645138515e-08,1.7894453058055406e-07,191,3,12,3/2/20,2.624519781848126e-06,176
3.0420570198694193e-06,5.964817686018469e-08,1.7894453058055406e-07,204,4,12,3/3/20,2.8034643124286805e-06,188
4.249932601288159e-06,5.964817686018469e-08,1.7894453058055406e-07,285,4,12,3/4/20,4.01133989384742e-06,269
5.621840669072407e-06,8.947226529027703e-08,1.7894453058055406e-07,377,6,12,3/5/20,5.353423873201576e-06,359
9.73756487242515e-06,1.3420839793541556e-07,1.7894453058055406e-07,653,9,12,3/6/20,9.42441194390918e-06,632
1.4151529960078817e-05,1.6403248636550788e-07,1.7894453058055406e-07,949,11,12,3/7/20,1.3808552943132756e-05,926
1.679096178614199e-05,2.833288400858773e-07,1.7894453058055406e-07,1126,19,12,3/8/20,1.6328688415475558e-05,1095
1.802866145599082e-05,2.833288400858773e-07,1.7894453058055406e-07,1209,19,12,3/9/20,1.756638808532439e-05,1178
2.6603086879642372e-05,4.920974590965237e-07,1.7894453058055406e-07,1784,33,12,3/10/20,2.5932044889965295e-05,1739
3.401437285452032e-05,7.157781223222162e-07,1.7894453058055406e-07,2281,48,12,3/11/20,3.311965020161755e-05,2221
3.401437285452032e-05,7.157781223222162e-07,1.7894453058055406e-07,2281,48,12,3/12/20,3.311965020161755e-05,2221
5.4592993871284034e-05,1.1780514929886475e-06,1.7894453058055406e-07,3661,79,12,3/13/20,5.323599784771483e-05,3570
6.664192559704134e-05,1.3569960235692017e-06,1.7894453058055406e-07,4469,91,12,3/14/20,6.510598504289158e-05,4366
6.708928692349273e-05,1.3569960235692017e-06,1.7894453058055406e-07,4499,91,12,3/15/20,6.555334636934297e-05,4396
9.891158927840126e-05,2.2069825438268334e-06,1.7894453058055406e-07,6633,148,12,3/16/20,9.652566220399387e-05,6473
0.0001141069623335333,2.2069825438268334e-06,1.7894453058055406e-07,7652,148,12,3/17/20,0.00011172103525912591,7492
0.00013484961583666254,2.2069825438268334e-06,1.7894453058055406e-07,9043,148,12,3/18/20,0.00013246368876225517,8883
0.00016210883266176693,3.6236267442562198e-06,1.7894453058055406e-07,10871,243,12,3/19/20,0.00015830626138693015,10616
0.00018807070164016232,6.7104198967707774e-06,1.7894453058055406e-07,12612,450,12,3/20/20,0.000181181337212811,12150
0.00021297381547928944,8.380568848855948e-06,1.7894453058055406e-07,14282,562,12,3/21/20,0.00020441430209985293,13708
