Total Cases,Deaths,Recovered,Date,Currently Positive
0.0,0.0,0.0,1/22/20,0.0
0.0,0.0,0.0,1/23/20,0.0
0.0,0.0,0.0,1/24/20,0.0
0.0,0.0,0.0,1/25/20,0.0
0.0,0.0,0.0,1/26/20,0.0
0.0,0.0,0.0,1/27/20,0.0
0.0,0.0,0.0,1/28/20,0.0
0.0,0.0,0.0,1/29/20,0.0
0.0,0.0,0.0,1/30/20,0.0
3.316892822369974e-08,0.0,0.0,1/31/20,3.316892822369974e-08
3.316892822369974e-08,0.0,0.0,2/1/20,3.316892822369974e-08
3.316892822369974e-08,0.0,0.0,2/2/20,3.316892822369974e-08
3.316892822369974e-08,0.0,0.0,2/3/20,3.316892822369974e-08
3.316892822369974e-08,0.0,0.0,2/4/20,3.316892822369974e-08
3.316892822369974e-08,0.0,0.0,2/5/20,3.316892822369974e-08
3.316892822369974e-08,0.0,0.0,2/6/20,3.316892822369974e-08
4.9753392335549615e-08,0.0,0.0,2/7/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/8/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/9/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/10/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/11/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/12/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/13/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/14/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/15/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/16/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/17/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/18/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/19/20,4.9753392335549615e-08
4.9753392335549615e-08,0.0,0.0,2/20/20,4.9753392335549615e-08
3.3168928223699745e-07,1.658446411184987e-08,0.0,2/21/20,3.151048181251476e-07
1.0282367749346921e-06,3.316892822369974e-08,1.658446411184987e-08,2/22/20,9.784833825991425e-07
2.57059193733673e-06,4.9753392335549615e-08,3.316892822369974e-08,2/23/20,2.4876696167774808e-06
3.7978422816136206e-06,1.160912487829491e-07,1.658446411184987e-08,2/24/20,3.6651665687188217e-06
5.340197444015659e-06,1.6584464111849873e-07,1.658446411184987e-08,2/25/20,5.157768338785311e-06
