Total Cases,Deaths,Recovered,Date,Currently Positive
0.0,0.0,0.0,1/22/20,0.0
0.0,0.0,0.0,1/23/20,0.0
0.0,0.0,0.0,1/24/20,0.0
0.0,0.0,0.0,1/25/20,0.0
0.0,0.0,0.0,1/26/20,0.0
0.0,0.0,0.0,1/27/20,0.0
0.0,0.0,0.0,1/28/20,0.0
0.0,0.0,0.0,1/29/20,0.0
0.0,0.0,0.0,1/30/20,0.0
0.0,0.0,0.0,1/31/20,0.0
2.1241894172840747e-08,0.0,0.0,2/1/20,2.1241894172840747e-08
2.1241894172840747e-08,0.0,0.0,2/2/20,2.1241894172840747e-08
2.1241894172840747e-08,0.0,0.0,2/3/20,2.1241894172840747e-08
2.1241894172840747e-08,0.0,0.0,2/4/20,2.1241894172840747e-08
2.1241894172840747e-08,0.0,0.0,2/5/20,2.1241894172840747e-08
2.1241894172840747e-08,0.0,0.0,2/6/20,2.1241894172840747e-08
2.1241894172840747e-08,0.0,0.0,2/7/20,2.1241894172840747e-08
2.1241894172840747e-08,0.0,0.0,2/8/20,2.1241894172840747e-08
4.2483788345681495e-08,0.0,0.0,2/9/20,4.2483788345681495e-08
4.2483788345681495e-08,0.0,0.0,2/10/20,4.2483788345681495e-08
4.2483788345681495e-08,0.0,0.0,2/11/20,4.2483788345681495e-08
4.2483788345681495e-08,0.0,0.0,2/12/20,4.2483788345681495e-08
4.2483788345681495e-08,0.0,0.0,2/13/20,4.2483788345681495e-08
4.2483788345681495e-08,0.0,0.0,2/14/20,4.2483788345681495e-08
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/15/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/16/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/17/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/18/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/19/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/20/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/21/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/22/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/23/20,0.0
4.2483788345681495e-08,0.0,4.2483788345681495e-08,2/24/20,0.0
1.2745136503704448e-07,0.0,4.2483788345681495e-08,2/25/20,8.496757669136298e-08
2.761446242469297e-07,0.0,4.2483788345681495e-08,2/26/20,2.3366083590124822e-07
