date,Total Cases,Total Deaths,Total Recovered,Currently Positive,Currently Hospitalized,Currently Critical
2020-01-25,1.508325200946625e-07,0.0,0.0,1.508325200946625e-07,0.0,0.0
2020-01-26,1.508325200946625e-07,0.0,0.0,1.508325200946625e-07,0.0,0.0
2020-01-27,1.508325200946625e-07,0.0,0.0,1.508325200946625e-07,0.0,0.0
2020-01-28,1.508325200946625e-07,0.0,0.0,1.508325200946625e-07,0.0,0.0
2020-01-29,4.524975602839875e-07,0.0,0.0,4.524975602839875e-07,0.0,0.0
2020-01-30,4.524975602839875e-07,0.0,0.0,4.524975602839875e-07,0.0,0.0
2020-01-31,4.524975602839875e-07,0.0,0.0,4.524975602839875e-07,0.0,0.0
2020-02-01,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-02,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-03,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-04,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-05,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-06,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-07,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-08,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-09,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-10,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-11,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-12,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-13,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-14,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-15,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-16,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-17,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-18,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-19,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-20,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-21,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-22,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-23,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-24,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-25,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-26,6.0333008037865e-07,0.0,0.0,6.0333008037865e-07,0.0,0.0
2020-02-27,1.0558276406626375e-06,0.0,0.0,1.0558276406626375e-06,0.0,0.0
2020-02-28,1.0558276406626375e-06,0.0,0.0,1.0558276406626375e-06,0.0,0.0
2020-02-29,1.0558276406626375e-06,0.0,0.0,1.0558276406626375e-06,0.0,0.0
