t,TI,currently_infected,DR,recovered,C,critical,D,deaths,TI+DR+D,total_cases,H,isolated
490.0,5.474531603321643e-05,0.0009068716665641747,0.0,4.708329361353958e-05,4.9753392335549615e-06,-8.292232055924858e-08,1.160912487829491e-05,4.643649951321417e-07,6.635444091151134e-05,6.418187611281767e-06,3.3168928223699745e-05,-4.071485939459148e-05
491.0,8.886894338964875e-05,0.0008760577322443577,1.9879081741434326e-06,8.842836264437437e-05,4.991702819693496e-06,-3.980271386843969e-07,1.2097328631817717e-05,1.1609124878297038e-06,0.0001029541801956099,1.7645869815008375e-05,6.0640152946274497e-05,-7.043421908302643e-05
492.0,0.00012217750346582185,0.0008365369542658194,4.963708130955754e-06,0.00014042065763503198,5.041751415395983e-06,-7.794698132569436e-07,1.2588608545575292e-05,1.5589396265142108e-06,0.0001397298201423529,3.051541396580093e-05,8.574209333983886e-05,-0.00010819704386570857
493.0,0.0001572536122515106,0.0008185759796326859,8.915006160029538e-06,0.00017261110247612788,5.144952042503875e-06,-1.0779901672702413e-06,1.308725537279568e-05,1.9072133728629918e-06,0.0001792558737843358,4.509315792011748e-05,0.00011031163505144978,-0.0001248478458340059
494.0,0.00019563148740800917,0.0007923891108000751,1.3889906837029048e-05,0.00021150167081841753,5.316026562508867e-06,-1.3433415930598394e-06,1.3599240556786594e-05,2.3715783679947e-06,0.0002231206348018248,5.826122242492959e-05,0.00013573458276262257,-0.00014972454200178065
495.0,0.00023810951707449191,0.0007558535363616697,1.9974614178650485e-05,0.0002630793542062748,5.565083237153915e-06,-1.492601770066488e-06,1.4131746530068024e-05,2.7364365784553896e-06,0.00027221587778321045,7.36681895848329e-05,0.00016298089819643809,-0.00018486702145479054
496.0,0.0002850361545134419,0.0007407285050916627,2.727746972123024e-05,0.00029137244998109213,5.898548883463049e-06,-1.608693018849437e-06,1.4692756979634482e-05,2.9354501477974262e-06,0.0003270063812143066,8.703526765897751e-05,0.00019269215480871796,-0.00019937842755265924
497.0,0.0003364830182211733,0.0007219383072529367,3.5918263116043924e-05,0.0003176090722060293,6.3199763146647115e-06,-1.7081998035205363e-06,1.52907389141482e-05,3.4495685352648603e-06,0.00038769202025136545,9.499581043266592e-05,0.0002252584458091014,-0.00021762133807569405
498.0,0.000392340704712187,0.0007061498974184557,4.602095506972613e-05,0.0003480415638512785,6.83067535069101e-06,-1.774537659967936e-06,1.593439144032056e-05,3.847595673949367e-06,0.0004542960512222337,0.00011003791938211938,0.00026088063382512006,-0.00023224883542234567
499.0,0.0004523749388394855,0.0006938939784397986,5.770854731575487e-05,0.0003768156090853403,7.430145006914217e-06,-1.890628908750885e-06,1.6632452769853774e-05,4.079778171515221e-06,0.0005267159389250941,0.00012678822813508295,0.0002996141834634997,-0.00024377503798008132
