t,TI,currently_infected,DR,recovered,C,critical,D,deaths,TI+DR+D,total_cases,H,isolated
532.0,4.992556415133328e-05,0.0007080078493243,0.0,2.5490695896000087e-05,4.524975602839875e-06,1.221743412766766e-05,1.0558276406626375e-06,1.5083252010000803e-07,5.098139179199592e-05,7.496376248710031e-05,3.01665040189325e-05,3.13731641796898e-05
533.0,5.3290792728857045e-05,0.0007497884573905,4.604294032316845e-06,6.334965843969977e-05,4.067171821760691e-06,1.44799219290876e-05,1.2703999312231949e-06,3.0166504019998896e-07,5.9165486692397084e-05,0.0001547541656172005,2.7618189374843527e-05,3.122233165959513e-05
534.0,5.625770611126493e-05,0.0007932282231778,9.475429127513221e-06,9.336532993860008e-05,3.6642821836861023e-06,1.4027424368803612e-05,1.4634609658594712e-06,4.52497560299997e-07,6.719659620463763e-05,0.00022836043542339996,2.532243432482719e-05,3.076983409931115e-05
535.0,6.040367764610305e-05,0.0008555220539769,1.4653999725690563e-05,0.00011418021771169998,3.314344606661774e-06,1.4932419489371586e-05,1.6377100647748993e-06,6.03330080400005e-07,7.66953874365685e-05,0.00031161998651560007,2.3259172514997146e-05,3.152399669978446e-05
536.0,6.677769197360003e-05,0.0009045426230076,2.0294046361537777e-05,0.00015369833797649994,3.0153798859096225e-06,1.4932419489371586e-05,1.795743647827898e-06,7.541626005000131e-07,8.886748198296569e-05,0.0004003095083313004,2.1416194922060348e-05,3.635063734281366e-05
537.0,7.627237436813163e-05,0.0009381782749888,2.6633664640787577e-05,0.00021312635089370006,2.766085476439238e-06,1.4329089408992936e-05,1.9400743967879813e-06,1.20666016080001e-06,0.0001048461134057072,0.0004938256707900006,1.978704906257345e-05,3.876395766432826e-05
538.0,8.983086908848049e-05,0.0010049970813907,3.399155998654463e-05,0.0002580744418819998,2.566270860107089e-06,1.523408452956091e-05,2.0731758182456523e-06,1.809990241199988e-06,0.00012589560489327078,0.0006061958982605002,1.8370482054751512e-05,3.876395766432826e-05
539.0,0.00010858921137407758,0.0010795083463174,4.277814252979623e-05,0.00029171009386310016,2.4172130746843087e-06,1.68932422506022e-05,2.19754685670506e-06,1.9608227612000055e-06,0.00015356490076057886,0.0007144936476885001,1.717069055477427e-05,4.479725846811476e-05
540.0,0.00013399300046169657,0.0011475338128801,5.3518788765306716e-05,0.0003496297815793999,2.322019250457844e-06,1.6591577210412873e-05,2.31579595859008e-06,2.1116552813000135e-06,0.00018982758518559337,0.0008405896344876006,1.619820750558938e-05,4.841723895038666e-05
541.0,0.00016790722699344015,0.0012092243135989,6.688354574287471e-05,0.0004033261587330999,2.2860055056671305e-06,1.9155730052022137e-05,2.4307380832372375e-06,2.4133203215000025e-06,0.00023722151081955207,0.0009562781774002001,1.5471096043332617e-05,4.902056903076531e-05
